============= No.1 test case ===============
true
weights: [3.94990939064379 100 136.75830657959628 159.29178402975984]
latency:  143592192611 221699140 6458060 6486043
weights: [3.7524139211116005 100 136.95580204912847 159.29178402975984]
latency:  150443505317 125884276 6888841 6852294
weights: [3.5647932250560204 100 136.95580204912847 159.4794047258154]
latency:  151394976645 78820288 7086929 6897992
weights: [3.3865535638032194 100 136.95580204912847 159.65764438706822]
latency:  96795969019 102050893 6921713 6465158
weights: [3.2172258856130584 100 136.95580204912847 159.8269720652584]
latency:  123059099914 234871554 6688563 7753841
weights: [3.0563645913324056 100 137.11666334340913 159.8269720652584]
latency:  69082058198 182794686 6587752 5840084
weights: [2.9035463617657853 100 137.11666334340913 159.97979029482502]
latency:  124097383278 122164105 6096257 5777253
weights: [2.758369043677496 100 137.11666334340913 160.1249676129133]
latency:  98028891990 118233886 6400897 6560830
weights: [2.620450591493621 100 137.254581795593 160.1249676129133]
latency:  97195806879 254049881 6419306 6716464
weights: [2.48942806191894 100 137.3856043251677 160.1249676129133]
latency:  187188544844 174001070 6652904 6572789
weights: [2.364956658822993 100 137.3856043251677 160.24943901600926]
latency:  164572047449 393124646 6081851 5679333
weights: [2.2467088258818433 100 137.3856043251677 160.3676868489504]
latency:  161064895847 205449580 6424951 6561776
weights: [2.134373384587751 100 137.49793976646177 160.3676868489504]
latency:  145237696491 144965672 6721142 6426592
weights: [2.0276547153583633 100 137.49793976646177 160.4744055181798]
latency:  140457154639 74799672 6299285 6292208
weights: [1.926271979590445 100 137.49793976646177 160.5757882539477]
latency:  191561320422 305147168 6568292 6571754
weights: [1.8299583806109228 100 137.5942533654413 160.5757882539477]
latency:  194643359148 315242267 6525150 6679766
weights: [1.7384604615803765 100 137.68575128447185 160.5757882539477]
latency:  247360034509 93134220 6648906 6954638
weights: [1.6515374385013575 100 137.77267430755086 160.5757882539477]
latency:  242821854364 39069604 5500673 6841836
weights: [1.5689605665762896 100 137.8552511794759 160.5757882539477]
latency:  166044867942 68512426 6446791 6307651
weights: [1.490512538247475 100 137.8552511794759 160.6542362822765]
latency:  164724466612 113136221 6250202 6254549
weights: [1.4159869113351014 100 137.92977680638828 160.6542362822765]
latency:  166374814011 55150795 5912145 6505664
weights: [1.3451875657683463 100 138.00057615195504 160.6542362822765]
latency:  163459343143 47610829 7180063 6563945
weights: [1.2779281874799289 100 138.00057615195504 160.72149566056493]
latency:  192705941620 211136396 6677706 7084851
weights: [1.2140317781059324 100 138.06447256132904 160.72149566056493]
latency:  232403279968 377119120 6593311 6527683
weights: [1.1533301892006358 100 138.06447256132904 160.78219724947022]
latency:  168470349919 28178023 8469523 5067593
weights: [1.0956636797406039 100 138.06447256132904 160.83986375893025]
latency:  261146428006 76193207 6369201 6023919
weights: [1.0408804957535736 100 138.06447256132904 160.8946469429173]
latency:  243763737927 45731340 6107190 6345121
weights: [0.9888364709658948 100 138.11651658611672 160.8946469429173]
latency:  173475542206 81890310 6892696 6487868
weights: [0.9393946474176 100 138.11651658611672 160.9440887664656]
latency:  185224753632 266306167 6534017 6649986
weights: [0.89242491504672 100 138.1634863184876 160.9440887664656]
latency:  161717704778 379348375 6230792 6581070
weights: [0.8478036692943839 100 138.20810756423992 160.9440887664656]
latency:  167638050742 390582235 5823547 5298669
weights: [0.8054134858296647 100 138.20810756423992 160.98647894993033]
latency:  172360258362 186366392 6530760 6583986
weights: [0.7651428115381814 100 138.24837823853142 160.98647894993033]
latency:  179596565683 22821168 6057129 5568089
weights: [0.7268856709612723 100 138.24837823853142 161.02473609050725]
latency:  236690529923 301295344 6661359 6862379
weights: [0.6905413874132087 100 138.28472252207948 161.02473609050725]
latency:  230312719939 641959958 6929701 6295554
weights: [0.6560143180425483 100 138.28472252207948 161.0592631598779]
latency:  326609650441 405716774 6714545 6603367
weights: [0.6232136021404209 100 138.28472252207948 161.09206387578004]
latency:  297890381822 60689715 7161822 6273859
weights: [0.5920529220333998 100 138.28472252207948 161.12322455588705]
latency:  399063337666 109860924 6273547 6501995
weights: [0.5624502759317298 100 138.31432516818114 161.12322455588705]
latency:  318268389354 87697270 7108634 7134555
weights: [0.5343277621351433 100 138.34244768197772 161.12322455588705]
